"","filename","id","pmid","year","mr","trait","category","subcategory","population","sex","ncase","ncontrol","sample_size","group_name","access","build","author","chr_col","pos_col","oa_col","ea_col","eaf_col","beta_col","se_col","pval_col","delimiter","header","nsnpfiles","nsnp"
"1","30600_MID.gz","ukb-e-30600_MID",NA,2020,1,"Albumin","Continuous","NA","Greater Middle Eastern (Middle Eastern, North African, or Persian)","Males and Females",1364,0,1364,"public","public","HG19/GRCh37","Pan-UKB team",0,1,2,3,4,5,6,7,"space",FALSE,"30600_MID.nsnp",11917464
"2","30610_MID.gz","ukb-e-30610_MID",NA,2020,1,"Alkaline phosphatase","Continuous","NA","Greater Middle Eastern (Middle Eastern, North African, or Persian)","Males and Females",1497,0,1497,"public","public","HG19/GRCh37","Pan-UKB team",0,1,2,3,4,5,6,7,"space",FALSE,"30610_MID.nsnp",11904858
"3","30620_MID.gz","ukb-e-30620_MID",NA,2020,1,"Alanine aminotransferase","Continuous","NA","Greater Middle Eastern (Middle Eastern, North African, or Persian)","Males and Females",1499,0,1499,"public","public","HG19/GRCh37","Pan-UKB team",0,1,2,3,4,5,6,7,"space",FALSE,"30620_MID.nsnp",11904915
"4","30630_MID.gz","ukb-e-30630_MID",NA,2020,1,"Apolipoprotein A","Continuous","NA","Greater Middle Eastern (Middle Eastern, North African, or Persian)","Males and Females",1360,0,1360,"public","public","HG19/GRCh37","Pan-UKB team",0,1,2,3,4,5,6,7,"space",FALSE,"30630_MID.nsnp",11917516
"5","30640_MID.gz","ukb-e-30640_MID",NA,2020,1,"Apolipoprotein B","Continuous","NA","Greater Middle Eastern (Middle Eastern, North African, or Persian)","Males and Females",1496,0,1496,"public","public","HG19/GRCh37","Pan-UKB team",0,1,2,3,4,5,6,7,"space",FALSE,"30640_MID.nsnp",11900115
"6","30650_MID.gz","ukb-e-30650_MID",NA,2020,1,"Aspartate aminotransferase","Continuous","NA","Greater Middle Eastern (Middle Eastern, North African, or Persian)","Males and Females",1493,0,1493,"public","public","HG19/GRCh37","Pan-UKB team",0,1,2,3,4,5,6,7,"space",FALSE,"30650_MID.nsnp",11900602
"7","30660_MID.gz","ukb-e-30660_MID",NA,2020,1,"Direct bilirubin","Continuous","NA","Greater Middle Eastern (Middle Eastern, North African, or Persian)","Males and Females",1235,0,1235,"public","public","HG19/GRCh37","Pan-UKB team",0,1,2,3,4,5,6,7,"space",FALSE,"30660_MID.nsnp",11849043
"8","30670_MID.gz","ukb-e-30670_MID",NA,2020,1,"Urea","Continuous","NA","Greater Middle Eastern (Middle Eastern, North African, or Persian)","Males and Females",1497,0,1497,"public","public","HG19/GRCh37","Pan-UKB team",0,1,2,3,4,5,6,7,"space",FALSE,"30670_MID.nsnp",11901675
"9","30680_MID.gz","ukb-e-30680_MID",NA,2020,1,"Calcium","Continuous","NA","Greater Middle Eastern (Middle Eastern, North African, or Persian)","Males and Females",1361,0,1361,"public","public","HG19/GRCh37","Pan-UKB team",0,1,2,3,4,5,6,7,"space",FALSE,"30680_MID.nsnp",11921128
"10","30690_MID.gz","ukb-e-30690_MID",NA,2020,1,"Cholesterol","Continuous","NA","Greater Middle Eastern (Middle Eastern, North African, or Persian)","Males and Females",1500,0,1500,"public","public","HG19/GRCh37","Pan-UKB team",0,1,2,3,4,5,6,7,"space",FALSE,"30690_MID.nsnp",11900595
"11","30700_MID.gz","ukb-e-30700_MID",NA,2020,1,"Creatinine","Continuous","NA","Greater Middle Eastern (Middle Eastern, North African, or Persian)","Males and Females",1498,0,1498,"public","public","HG19/GRCh37","Pan-UKB team",0,1,2,3,4,5,6,7,"space",FALSE,"30700_MID.nsnp",11901524
"12","30710_MID.gz","ukb-e-30710_MID",NA,2020,1,"C-reactive protein","Continuous","NA","Greater Middle Eastern (Middle Eastern, North African, or Persian)","Males and Females",1498,0,1498,"public","public","HG19/GRCh37","Pan-UKB team",0,1,2,3,4,5,6,7,"space",FALSE,"30710_MID.nsnp",11904174
"13","30720_MID.gz","ukb-e-30720_MID",NA,2020,1,"Cystatin C","Continuous","NA","Greater Middle Eastern (Middle Eastern, North African, or Persian)","Males and Females",1500,0,1500,"public","public","HG19/GRCh37","Pan-UKB team",0,1,2,3,4,5,6,7,"space",FALSE,"30720_MID.nsnp",11896897
"14","30730_MID.gz","ukb-e-30730_MID",NA,2020,1,"Gamma glutamyltransferase","Continuous","NA","Greater Middle Eastern (Middle Eastern, North African, or Persian)","Males and Females",1498,0,1498,"public","public","HG19/GRCh37","Pan-UKB team",0,1,2,3,4,5,6,7,"space",FALSE,"30730_MID.nsnp",11904858
"15","30740_MID.gz","ukb-e-30740_MID",NA,2020,1,"Glucose","Continuous","NA","Greater Middle Eastern (Middle Eastern, North African, or Persian)","Males and Females",1361,0,1361,"public","public","HG19/GRCh37","Pan-UKB team",0,1,2,3,4,5,6,7,"space",FALSE,"30740_MID.nsnp",11917507
"16","30750_MID.gz","ukb-e-30750_MID",NA,2020,1,"Glycated haemoglobin (HbA1c)","Continuous","NA","Greater Middle Eastern (Middle Eastern, North African, or Persian)","Males and Females",1502,0,1502,"public","public","HG19/GRCh37","Pan-UKB team",0,1,2,3,4,5,6,7,"space",FALSE,"30750_MID.nsnp",11890607
"17","30760_MID.gz","ukb-e-30760_MID",NA,2020,1,"HDL cholesterol","Continuous","NA","Greater Middle Eastern (Middle Eastern, North African, or Persian)","Males and Females",1364,0,1364,"public","public","HG19/GRCh37","Pan-UKB team",0,1,2,3,4,5,6,7,"space",FALSE,"30760_MID.nsnp",11917464
"18","30770_MID.gz","ukb-e-30770_MID",NA,2020,1,"IGF-1","Continuous","NA","Greater Middle Eastern (Middle Eastern, North African, or Persian)","Males and Females",1493,0,1493,"public","public","HG19/GRCh37","Pan-UKB team",0,1,2,3,4,5,6,7,"space",FALSE,"30770_MID.nsnp",11904769
"19","30780_MID.gz","ukb-e-30780_MID",NA,2020,1,"LDL direct","Continuous","NA","Greater Middle Eastern (Middle Eastern, North African, or Persian)","Males and Females",1498,0,1498,"public","public","HG19/GRCh37","Pan-UKB team",0,1,2,3,4,5,6,7,"space",FALSE,"30780_MID.nsnp",11906017
"20","30790_MID.gz","ukb-e-30790_MID",NA,2020,1,"Lipoprotein A","Continuous","NA","Greater Middle Eastern (Middle Eastern, North African, or Persian)","Males and Females",1282,0,1282,"public","public","HG19/GRCh37","Pan-UKB team",0,1,2,3,4,5,6,7,"space",FALSE,"30790_MID.nsnp",11954387
"21","30810_MID.gz","ukb-e-30810_MID",NA,2020,1,"Phosphate","Continuous","NA","Greater Middle Eastern (Middle Eastern, North African, or Persian)","Males and Females",1360,0,1360,"public","public","HG19/GRCh37","Pan-UKB team",0,1,2,3,4,5,6,7,"space",FALSE,"30810_MID.nsnp",11914697
"22","30830_MID.gz","ukb-e-30830_MID",NA,2020,1,"SHBG","Continuous","NA","Greater Middle Eastern (Middle Eastern, North African, or Persian)","Males and Females",1348,0,1348,"public","public","HG19/GRCh37","Pan-UKB team",0,1,2,3,4,5,6,7,"space",FALSE,"30830_MID.nsnp",11919015
"23","30840_MID.gz","ukb-e-30840_MID",NA,2020,1,"Total bilirubin","Continuous","NA","Greater Middle Eastern (Middle Eastern, North African, or Persian)","Males and Females",1491,0,1491,"public","public","HG19/GRCh37","Pan-UKB team",0,1,2,3,4,5,6,7,"space",FALSE,"30840_MID.nsnp",11898863
"24","30850_MID.gz","ukb-e-30850_MID",NA,2020,1,"Testosterone","Continuous","NA","Greater Middle Eastern (Middle Eastern, North African, or Persian)","Males and Females",1393,0,1393,"public","public","HG19/GRCh37","Pan-UKB team",0,1,2,3,4,5,6,7,"space",FALSE,"30850_MID.nsnp",11901354
"25","30860_MID.gz","ukb-e-30860_MID",NA,2020,1,"Total protein","Continuous","NA","Greater Middle Eastern (Middle Eastern, North African, or Persian)","Males and Females",1362,0,1362,"public","public","HG19/GRCh37","Pan-UKB team",0,1,2,3,4,5,6,7,"space",FALSE,"30860_MID.nsnp",11916109
"26","30870_MID.gz","ukb-e-30870_MID",NA,2020,1,"Triglycerides","Continuous","NA","Greater Middle Eastern (Middle Eastern, North African, or Persian)","Males and Females",1499,0,1499,"public","public","HG19/GRCh37","Pan-UKB team",0,1,2,3,4,5,6,7,"space",FALSE,"30870_MID.nsnp",11903073
"27","30880_MID.gz","ukb-e-30880_MID",NA,2020,1,"Urate","Continuous","NA","Greater Middle Eastern (Middle Eastern, North African, or Persian)","Males and Females",1497,0,1497,"public","public","HG19/GRCh37","Pan-UKB team",0,1,2,3,4,5,6,7,"space",FALSE,"30880_MID.nsnp",11903590
"28","30890_MID.gz","ukb-e-30890_MID",NA,2020,1,"Vitamin D","Continuous","NA","Greater Middle Eastern (Middle Eastern, North African, or Persian)","Males and Females",1390,0,1390,"public","public","HG19/GRCh37","Pan-UKB team",0,1,2,3,4,5,6,7,"space",FALSE,"30890_MID.nsnp",11857268
"29","1150_p1_MID.gz","ukb-e-1150_p1_MID",NA,2020,1,"Usual side of head for mobile phone use","Binary","NA","Greater Middle Eastern (Middle Eastern, North African, or Persian)","Males and Females",440,969,1409,"public","public","HG19/GRCh37","Pan-UKB team",0,1,2,3,4,5,6,7,"space",FALSE,"1150_p1_MID.nsnp",11900289
"30","1150_p2_MID.gz","ukb-e-1150_p2_MID",NA,2020,1,"Usual side of head for mobile phone use","Binary","NA","Greater Middle Eastern (Middle Eastern, North African, or Persian)","Males and Females",821,588,1409,"public","public","HG19/GRCh37","Pan-UKB team",0,1,2,3,4,5,6,7,"space",FALSE,"1150_p2_MID.nsnp",12095284
"31","120_p1_MID.gz","ukb-e-120_p1_MID",NA,2020,1,"Birth weight known","Binary","NA","Greater Middle Eastern (Middle Eastern, North African, or Persian)","Males and Females",322,1273,1595,"public","public","HG19/GRCh37","Pan-UKB team",0,1,2,3,4,5,6,7,"space",FALSE,"120_p1_MID.nsnp",11768122
"32","120_p3_MID.gz","ukb-e-120_p3_MID",NA,2020,1,"Birth weight known","Binary","NA","Greater Middle Eastern (Middle Eastern, North African, or Persian)","Males and Females",1130,465,1595,"public","public","HG19/GRCh37","Pan-UKB team",0,1,2,3,4,5,6,7,"space",FALSE,"120_p3_MID.nsnp",11695876
"33","1210_MID.gz","ukb-e-1210_MID",NA,2020,1,"Snoring","Binary","NA","Greater Middle Eastern (Middle Eastern, North African, or Persian)","Males and Females",854,536,1390,"public","public","HG19/GRCh37","Pan-UKB team",0,1,2,3,4,5,6,7,"space",FALSE,"1210_MID.nsnp",11742709
"34","1418_p1_MID.gz","ukb-e-1418_p1_MID",NA,2020,1,"Milk type used","Binary","NA","Greater Middle Eastern (Middle Eastern, North African, or Persian)","Males and Females",242,1321,1563,"public","public","HG19/GRCh37","Pan-UKB team",0,1,2,3,4,5,6,7,"space",FALSE,"1418_p1_MID.nsnp",11661656
"35","1418_p2_MID.gz","ukb-e-1418_p2_MID",NA,2020,1,"Milk type used","Binary","NA","Greater Middle Eastern (Middle Eastern, North African, or Persian)","Males and Females",833,730,1563,"public","public","HG19/GRCh37","Pan-UKB team",0,1,2,3,4,5,6,7,"space",FALSE,"1418_p2_MID.nsnp",11905315
"36","1418_p3_MID.gz","ukb-e-1418_p3_MID",NA,2020,1,"Milk type used","Binary","NA","Greater Middle Eastern (Middle Eastern, North African, or Persian)","Males and Females",252,1311,1563,"public","public","HG19/GRCh37","Pan-UKB team",0,1,2,3,4,5,6,7,"space",FALSE,"1418_p3_MID.nsnp",11709178
"37","1428_p1_MID.gz","ukb-e-1428_p1_MID",NA,2020,1,"Spread type","Binary","NA","Greater Middle Eastern (Middle Eastern, North African, or Persian)","Males and Females",492,1032,1524,"public","public","HG19/GRCh37","Pan-UKB team",0,1,2,3,4,5,6,7,"space",FALSE,"1428_p1_MID.nsnp",11911737
"38","1428_p2_MID.gz","ukb-e-1428_p2_MID",NA,2020,1,"Spread type","Binary","NA","Greater Middle Eastern (Middle Eastern, North African, or Persian)","Males and Females",503,1021,1524,"public","public","HG19/GRCh37","Pan-UKB team",0,1,2,3,4,5,6,7,"space",FALSE,"1428_p2_MID.nsnp",11813305
"39","1428_p4_MID.gz","ukb-e-1428_p4_MID",NA,2020,1,"Spread type","Binary","NA","Greater Middle Eastern (Middle Eastern, North African, or Persian)","Males and Females",516,1008,1524,"public","public","HG19/GRCh37","Pan-UKB team",0,1,2,3,4,5,6,7,"space",FALSE,"1428_p4_MID.nsnp",11918672
"40","1448_p1_MID.gz","ukb-e-1448_p1_MID",NA,2020,1,"Bread type","Binary","NA","Greater Middle Eastern (Middle Eastern, North African, or Persian)","Males and Females",386,1135,1521,"public","public","HG19/GRCh37","Pan-UKB team",0,1,2,3,4,5,6,7,"space",FALSE,"1448_p1_MID.nsnp",11890549
"41","1448_p2_MID.gz","ukb-e-1448_p2_MID",NA,2020,1,"Bread type","Binary","NA","Greater Middle Eastern (Middle Eastern, North African, or Persian)","Males and Females",375,1146,1521,"public","public","HG19/GRCh37","Pan-UKB team",0,1,2,3,4,5,6,7,"space",FALSE,"1448_p2_MID.nsnp",11742244
